0.00209, 0.151
0.00359, 0.173
0.00515, 0.201
0.00661, 0.222
0.00918, 0.252
0.0120, 0.283
0.0180, 0.342
0.0253, 0.389
0.0300, 0.417
0.0352, 0.446
0.0401, 0.470
0.0480, 0.506
0.0540, 0.528
0.0596, 0.549
0.0658, 0.575
0.0728, 0.599
0.0784, 0.615
0.0840, 0.630
0.0900, 0.646
0.0960, 0.665
0.102, 0.682
0.108, 0.697
0.114, 0.708
0.120, 0.726
0.126, 0.741
0.132, 0.752
0.138, 0.768
0.144, 0.780
0.150, 0.791
0.156, 0.805
0.162, 0.818
0.168, 0.829
0.174, 0.840
0.180, 0.852
0.186, 0.864
0.192, 0.875
0.198, 0.885
0.204, 0.897
0.210, 0.908
0.217, 0.922
0.222, 0.934
0.228, 0.942
0.234, 0.954
0.240, 0.964
0.246, 0.974
0.252, 0.988
0.258, 0.996
